center,left,right,steering,throttle,brake,speed
IMG/center_2019_02_23_04_04_39_517.jpg,IMG/left_2019_02_23_04_04_39_517.jpg,IMG/right_2019_02_23_04_04_39_517.jpg,0,0,0,1.495198E-05
IMG/center_2019_02_23_04_04_39_586.jpg,IMG/left_2019_02_23_04_04_39_586.jpg,IMG/right_2019_02_23_04_04_39_586.jpg,0,0,0,0.0001047259
IMG/center_2019_02_23_04_04_39_657.jpg,IMG/left_2019_02_23_04_04_39_657.jpg,IMG/right_2019_02_23_04_04_39_657.jpg,0,0,0,4.236446E-05
IMG/center_2019_02_23_04_04_39_728.jpg,IMG/left_2019_02_23_04_04_39_728.jpg,IMG/right_2019_02_23_04_04_39_728.jpg,0,0,0,0.0001138049
IMG/center_2019_02_23_04_04_39_799.jpg,IMG/left_2019_02_23_04_04_39_799.jpg,IMG/right_2019_02_23_04_04_39_799.jpg,0,0,0,0.0001019948
IMG/center_2019_02_23_04_04_39_869.jpg,IMG/left_2019_02_23_04_04_39_869.jpg,IMG/right_2019_02_23_04_04_39_869.jpg,0,0,0,0.0001299759
IMG/center_2019_02_23_04_04_39_939.jpg,IMG/left_2019_02_23_04_04_39_939.jpg,IMG/right_2019_02_23_04_04_39_939.jpg,0,0,0,0.0001228227
IMG/center_2019_02_23_04_04_40_011.jpg,IMG/left_2019_02_23_04_04_40_011.jpg,IMG/right_2019_02_23_04_04_40_011.jpg,0,0,0,0.0001115753
IMG/center_2019_02_23_04_04_40_085.jpg,IMG/left_2019_02_23_04_04_40_085.jpg,IMG/right_2019_02_23_04_04_40_085.jpg,0,0,0,0.0001950084
IMG/center_2019_02_23_04_04_40_157.jpg,IMG/left_2019_02_23_04_04_40_157.jpg,IMG/right_2019_02_23_04_04_40_157.jpg,0,0,0,0.0001300748
IMG/center_2019_02_23_04_04_40_228.jpg,IMG/left_2019_02_23_04_04_40_228.jpg,IMG/right_2019_02_23_04_04_40_228.jpg,0,0,0,0.0001256488
IMG/center_2019_02_23_04_04_40_298.jpg,IMG/left_2019_02_23_04_04_40_298.jpg,IMG/right_2019_02_23_04_04_40_298.jpg,0,0.0501799,0,0.005132561
IMG/center_2019_02_23_04_04_40_369.jpg,IMG/left_2019_02_23_04_04_40_369.jpg,IMG/right_2019_02_23_04_04_40_369.jpg,0,0.2603404,0,0.1992532
